key,d,u,pp,ht,ft
i,1479545718.45,1479545718.53,,0.0722827911377,
 ,1479545718.95,1479545719.02,0.495840787888,0.0721590518951,0.423681735992
l,1479545719.09,1479545719.17,0.144188165665,0.0715458393097,0.072642326355
o,1479545719.26,1479545719.35,0.167881965637,0.0879678726196,0.0799140930176
v,1479545719.37,1479545719.47,0.104282855988,0.103965044022,0.000317811965942
e,1479545719.54,1479545719.63,0.175953149796,0.0878360271454,0.0881171226501
 ,1479545719.64,1479545719.72,0.0959460735321,0.0796129703522,0.0163331031799
w,1479545719.78,1479545719.9,0.144018888474,0.120013952255,0.0240049362183
i,1479545719.85,1479545719.92,0.071949005127,0.0638670921326,0.00808191299438
l,1479545719.99,1479545720.09,0.135637998581,0.0962209701538,0.0394170284271
d,1479545720.42,1479545720.56,0.432542085648,0.135682821274,0.296859264374
h,1479545720.69,1479545720.74,0.271771907806,0.0505139827728,0.221257925034
a,1479545720.77,1479545720.88,0.0801780223846,0.103775978088,-0.0235979557037
c,1479545721.02,1479545721.13,0.248020887375,0.103164196014,0.14485669136
k,1479545721.12,1479545721.21,0.101286172867,0.0824589729309,0.0188271999359
s,1479545721.24,1479545721.33,0.114051818848,0.0884351730347,0.025616645813
