key,d,u,pp,ht,ft
i,1479545444.53,1479545444.61,,0.0796301364899,
 ,1479545444.64,1479545444.74,0.111835956573,0.09543800354,0.0163979530334
l,1479545444.78,1479545444.84,0.136116027832,0.0637021064758,0.0724139213562
o,1479545444.94,1479545445.0,0.159920930862,0.0634801387787,0.0964407920837
v,1479545444.98,1479545445.13,0.0403821468353,0.146370887756,-0.105988740921
e,1479545445.09,1479545445.22,0.111588001251,0.12554693222,-0.0139589309692
 ,1479545445.17,1479545445.26,0.0797579288483,0.0938029289246,-0.0140450000763
w,1479545445.3,1479545445.43,0.128214120865,0.127491950989,0.000722169876099
i,1479545445.38,1479545445.45,0.0798728466034,0.0714089870453,0.00846385955811
l,1479545445.55,1479545445.63,0.167948961258,0.0875351428986,0.0804138183594
d,1479545445.62,1479545445.73,0.0721650123596,0.110576152802,-0.0384111404419
h,1479545446.26,1479545446.32,0.643635034561,0.0600969791412,0.58353805542
a,1479545446.33,1479545446.44,0.0680999755859,0.11194896698,-0.043848991394
c,1479545446.39,1479545446.5,0.0562319755554,0.114294052124,-0.0580620765686
k,1479545446.47,1479545446.54,0.0798790454865,0.071928024292,0.00795102119446
s,1479545446.59,1479545446.67,0.119584083557,0.0886180400848,0.0309660434723
