key,d,u,pp,ht,ft
i,1479545700.49,1479545700.65,,0.159765005112,
 ,1479545700.61,1479545700.69,0.128117799759,0.0797190666199,0.048398733139
l,1479545700.76,1479545700.85,0.143980979919,0.087131023407,0.0568499565125
o,1479545700.93,1479545701.01,0.169294118881,0.0864698886871,0.0828242301941
v,1479545701.02,1479545701.12,0.0950129032135,0.0951240062714,-0.000111103057861
e,1479545701.21,1479545701.29,0.189019203186,0.0743899345398,0.114629268646
 ,1479545701.35,1479545701.45,0.139005899429,0.0949349403381,0.0440709590912
w,1479545701.63,1479545701.75,0.279628038406,0.119742870331,0.159885168076
i,1479545701.7,1479545701.78,0.0718450546265,0.0795869827271,-0.00774192810059
l,1479545701.87,1479545701.96,0.167888879776,0.0878269672394,0.0800619125366
d,1479545701.98,1479545702.05,0.105565071106,0.0705218315125,0.0350432395935
h,1479545702.34,1479545702.45,0.36660194397,0.111787080765,0.254814863205
a,1479545702.49,1479545702.58,0.152048110962,0.0817008018494,0.0703473091125
c,1479545702.94,1479545703.06,0.447801828384,0.119708061218,0.328093767166
k,1479545703.29,1479545703.41,0.352334022522,0.111556053162,0.24077796936
s,1479545703.45,1479545703.53,0.151819944382,0.0813100337982,0.0705099105835
