key,d,u,pp,ht,ft
i,1479545453.44,1479545453.5,,0.0560009479523,
 ,1479545453.53,1479545453.63,0.0883247852325,0.0973010063171,-0.00897622108459
l,1479545453.66,1479545453.71,0.12825012207,0.0554339885712,0.0728161334991
o,1479545453.8,1479545453.89,0.143500089645,0.0839619636536,0.0595381259918
v,1479545453.86,1479545453.98,0.0563368797302,0.11943602562,-0.0630991458893
e,1479545453.96,1479545454.09,0.105441093445,0.126186847687,-0.0207457542419
 ,1479545454.04,1479545454.15,0.0781979560852,0.103837013245,-0.0256390571594
w,1479545454.23,1479545454.35,0.18415594101,0.119851112366,0.0643048286438
i,1479545454.33,1479545454.4,0.103446960449,0.0723690986633,0.0310778617859
l,1479545454.51,1479545454.59,0.184574127197,0.0716059207916,0.112968206406
d,1479545454.63,1479545454.73,0.116917848587,0.0986721515656,0.0182456970215
h,1479545454.94,1479545455.0,0.307120084763,0.0636250972748,0.243494987488
a,1479545454.99,1479545455.12,0.0560300350189,0.122704982758,-0.0666749477386
c,1479545455.08,1479545455.17,0.0805099010468,0.0947451591492,-0.0142352581024
k,1479545455.14,1479545455.21,0.063481092453,0.0714049339294,-0.00792384147644
s,1479545455.27,1479545455.37,0.127369880676,0.104121208191,0.0232486724854
