key,d,u,pp,ht,ft
i,1479545449.88,1479545449.96,,0.0800700187683,
 ,1479545450.01,1479545450.11,0.128432035446,0.0951118469238,0.0333201885223
l,1479545450.2,1479545450.27,0.19185090065,0.0639131069183,0.127937793732
o,1479545450.36,1479545450.39,0.160051107407,0.0315809249878,0.128470182419
v,1479545450.43,1479545450.55,0.0720059871674,0.119737863541,-0.0477318763733
e,1479545450.64,1479545450.75,0.20782494545,0.10386800766,0.10395693779
 ,1479545450.79,1479545450.88,0.144203901291,0.0909740924835,0.0532298088074
w,1479545451.36,1479545451.45,0.568295001984,0.0952761173248,0.473018884659
i,1479545451.47,1479545451.53,0.119893074036,0.0559949874878,0.0638980865479
l,1479545451.63,1479545451.72,0.159591913223,0.0811760425568,0.0784158706665
d,1479545451.69,1479545451.81,0.0560121536255,0.119864940643,-0.0638527870178
h,1479545452.18,1479545452.24,0.488178014755,0.0647728443146,0.423405170441
a,1479545452.24,1479545452.36,0.0643210411072,0.119356870651,-0.0550358295441
c,1479545452.31,1479545452.43,0.0715899467468,0.119748830795,-0.0481588840485
k,1479545452.42,1479545452.47,0.104218006134,0.0474648475647,0.0567531585693
s,1479545452.55,1479545452.65,0.127550840378,0.107454061508,0.0200967788696
