key,d,u,pp,ht,ft
i,1479545456.05,1479545456.12,,0.0711078643799,
 ,1479545456.22,1479545456.3,0.167737007141,0.0797479152679,0.0879890918732
l,1479545456.59,1479545456.66,0.367798805237,0.0723121166229,0.295486688614
o,1479545456.76,1479545456.83,0.175980091095,0.0720069408417,0.103973150253
v,1479545456.82,1479545456.9,0.0568819046021,0.0788609981537,-0.0219790935516
e,1479545456.87,1479545456.96,0.0557141304016,0.0873029232025,-0.0315887928009
 ,1479545457.07,1479545457.15,0.19012093544,0.0813131332397,0.1088078022
w,1479545457.19,1479545457.28,0.121098995209,0.0903861522675,0.0307128429413
i,1479545457.54,1479545457.6,0.351806163788,0.0642659664154,0.287540197372
l,1479545457.7,1479545457.78,0.160667896271,0.0814430713654,0.0792248249054
d,1479545457.78,1479545457.9,0.0809869766235,0.118360042572,-0.0373730659485
h,1479545458.23,1479545458.32,0.454787015915,0.0878529548645,0.36693406105
a,1479545458.31,1479545458.43,0.0800590515137,0.119813919067,-0.0397548675537
c,1479545458.38,1479545458.49,0.0640108585358,0.111847162247,-0.0478363037109
k,1479545458.46,1479545458.55,0.0853400230408,0.0853891372681,-4.91142272949e-05
s,1479545458.58,1479545458.69,0.114705085754,0.11116194725,0.00354313850403
