key,d,u,pp,ht,ft
i,1479545693.16,1479545693.27,,0.114287137985,
 ,1479545693.24,1479545693.33,0.0823590755463,0.0960171222687,-0.0136580467224
l,1479545693.42,1479545693.49,0.176314115524,0.079726934433,0.0965871810913
o,1479545693.58,1479545693.65,0.167810916901,0.069128036499,0.0986828804016
c,1479545693.93,1479545694.03,0.343650102615,0.106889009476,0.23676109314
,1479545694.49,1479545694.57,0.560618877411,0.0868530273438,0.473765850067
v,1479545694.76,1479545694.84,0.271553993225,0.0801041126251,0.1914498806
w,1479545694.93,1479545695.01,0.1761469841,0.0717480182648,0.104398965836
,1479545695.57,1479545695.64,0.632025957108,0.0714972019196,0.560528755188
e,1479545696.43,1479545696.53,0.863957166672,0.103713989258,0.760243177414
 ,1479545696.65,1479545696.75,0.223512887955,0.0959560871124,0.127556800842
w,1479545696.85,1479545696.95,0.192595005035,0.103400945663,0.0891940593719
i,1479545696.92,1479545697.0,0.0717990398407,0.0799150466919,-0.0081160068512
l,1479545697.07,1479545697.17,0.151895999908,0.0958790779114,0.0560169219971
d,1479545697.15,1479545697.25,0.0812408924103,0.0947160720825,-0.0134751796722
h,1479545697.4,1479545697.49,0.246831178665,0.0877978801727,0.159033298492
a,1479545697.89,1479545698.0,0.488086938858,0.111747980118,0.37633895874
c,1479545698.42,1479545698.54,0.53685092926,0.118910074234,0.417940855026
k,1479545698.57,1479545698.69,0.151293039322,0.119580984116,0.0317120552063
s,1479545698.81,1479545698.9,0.232073068619,0.0955159664154,0.136557102203
