key,d,u,pp,ht,ft
i,1479545438.46,1479545438.52,,0.0637891292572,
 ,1479545438.56,1479545438.66,0.0960130691528,0.103837013245,-0.0078239440918
l,1479545438.67,1479545438.72,0.112036943436,0.048043012619,0.0639939308167
o,1479545438.8,1479545438.87,0.128000974655,0.0716860294342,0.0563149452209
v,1479545438.88,1479545439.01,0.0799450874329,0.135760068893,-0.0558149814606
e,1479545438.95,1479545439.04,0.071790933609,0.0892980098724,-0.0175070762634
 ,1479545439.01,1479545439.11,0.06409907341,0.0968029499054,-0.0327038764954
w,1479545439.15,1479545439.28,0.135014057159,0.136827945709,-0.0018138885498
i,1479545439.24,1479545439.31,0.0968990325928,0.0718657970428,0.0250332355499
l,1479545439.42,1479545439.5,0.175711870193,0.0774590969086,0.0982527732849
d,1479545439.48,1479545439.61,0.0645401477814,0.130823850632,-0.0662837028503
h,1479545440.02,1479545440.1,0.535735845566,0.0796780586243,0.456057786942
a,1479545440.11,1479545440.2,0.0929429531097,0.090784072876,0.00215888023376
c,1479545440.17,1479545440.27,0.0592770576477,0.0956780910492,-0.0364010334015
k,1479545440.25,1479545440.29,0.0837831497192,0.0353729724884,0.0484101772308
s,1479545440.37,1479545440.49,0.11615896225,0.114109039307,0.00204992294312
