key,d,u,pp,ht,ft
i,1479545459.27,1479545459.35,,0.0712530612946,
 ,1479545459.38,1479545459.47,0.103466033936,0.0878839492798,0.0155820846558
l,1479545459.48,1479545459.55,0.103813886642,0.0719971656799,0.0318167209625
o,1479545459.63,1479545459.77,0.152029037476,0.137695074081,0.0143339633942
v,1479545459.67,1479545459.84,0.0406370162964,0.168023109436,-0.12738609314
e,1479545459.75,1479545459.87,0.0795629024506,0.111718177795,-0.0321552753448
 ,1479545459.84,1479545459.93,0.0886101722717,0.0871658325195,0.0014443397522
w,1479545459.97,1479545460.1,0.127014875412,0.127717018127,-0.000702142715454
i,1479545460.07,1479545460.14,0.0961101055145,0.0718610286713,0.0242490768433
l,1479545460.24,1479545460.33,0.176395893097,0.0876500606537,0.0887458324432
d,1479545460.31,1479545460.44,0.071925163269,0.127914905548,-0.0559897422791
h,1479545460.7,1479545460.77,0.383899927139,0.0717270374298,0.312172889709
a,1479545460.78,1479545460.87,0.0800650119781,0.0956919193268,-0.0156269073486
c,1479545460.82,1479545460.93,0.0398259162903,0.111139059067,-0.0713131427765
k,1479545460.92,1479545461.0,0.103547096252,0.0798938274384,0.0236532688141
s,1479545461.02,1479545461.11,0.0974948406219,0.0948030948639,0.00269174575806
