key,d,u,pp,ht,ft
i,1479545711.42,1479545711.5,,0.0795550346375,
l,1479545711.66,1479545711.73,0.239946126938,0.0716519355774,0.16829419136
,1479545712.21,1479545712.29,0.543766021729,0.0798490047455,0.463917016983
 ,1479545712.37,1479545712.45,0.160340070724,0.0798897743225,0.080450296402
l,1479545712.69,1479545712.79,0.319829940796,0.103685855865,0.21614408493
o,1479545712.87,1479545712.94,0.183917999268,0.0661690235138,0.117748975754
v,1479545712.95,1479545713.04,0.0796658992767,0.0879590511322,-0.00829315185547
e,1479545713.14,1479545713.21,0.187094926834,0.0687220096588,0.118372917175
 ,1479545713.21,1479545713.3,0.0769481658936,0.0874328613281,-0.0104846954346
w,1479545713.34,1479545713.45,0.128322839737,0.11181306839,0.016509771347
i,1479545713.4,1479545713.47,0.0559840202332,0.071475982666,-0.0154919624329
l,1479545713.55,1479545713.66,0.151945114136,0.105042934418,0.046902179718
d,1479545713.65,1479545713.74,0.104429006577,0.0873608589172,0.0170681476593
h,1479545713.89,1479545713.98,0.231590032578,0.0903470516205,0.141242980957
a,1479545714.31,1479545714.45,0.423961877823,0.143804073334,0.280157804489
c,1479545714.57,1479545714.69,0.255490064621,0.119936943054,0.135553121567
k,1479545714.72,1479545714.82,0.152555942535,0.0983810424805,0.0541749000549
s,1479545714.89,1479545714.98,0.176022052765,0.0874838829041,0.0885381698608
