key,d,u,pp,ht,ft
i,1479545461.69,1479545461.75,,0.0634870529175,
 ,1479545461.85,1479545461.94,0.159851074219,0.0879459381104,0.0719051361084
l,1479545461.95,1479545462.01,0.0959470272064,0.0636749267578,0.0322721004486
o,1479545462.11,1479545462.19,0.159818887711,0.0799219608307,0.0798969268799
v,1479545462.13,1479545462.24,0.0241501331329,0.112622976303,-0.0884728431702
e,1479545462.19,1479545462.29,0.0638589859009,0.0960209369659,-0.0321619510651
 ,1479545462.32,1479545462.37,0.128277778625,0.0476100444794,0.0806677341461
w,1479545462.68,1479545462.83,0.359878063202,0.152217149734,0.207660913467
i,1479545462.76,1479545462.83,0.0799131393433,0.0721569061279,0.00775623321533
l,1479545462.94,1479545463.03,0.1763048172,0.0936059951782,0.0826988220215
d,1479545463.01,1479545463.11,0.0718450546265,0.103682994843,-0.0318379402161
h,1479545463.45,1479545463.55,0.440014123917,0.096293926239,0.343720197678
a,1479545463.53,1479545463.63,0.0799198150635,0.0957391262054,-0.015819311142
c,1479545463.59,1479545463.68,0.0640120506287,0.0872831344604,-0.0232710838318
k,1479545463.69,1479545463.73,0.0958750247955,0.0418660640717,0.0540089607239
s,1479545463.77,1479545463.86,0.0798361301422,0.0878319740295,-0.00799584388733
