key,d,u,pp,ht,ft
i,1479545724.73,1479545724.83,,0.0956959724426,
 ,1479545724.94,1479545725.01,0.207896947861,0.0637710094452,0.144125938416
l,1479545725.12,1479545725.19,0.179237127304,0.0683279037476,0.110909223557
o,1479545725.27,1479545725.36,0.148818969727,0.0877959728241,0.0610229969025
v,1479545725.34,1479545725.43,0.0718948841095,0.0879709720612,-0.0160760879517
e,1479545725.49,1479545725.58,0.143918991089,0.0957770347595,0.0481419563293
 ,1479545725.57,1479545725.65,0.0803980827332,0.0871150493622,-0.00671696662903
w,1479545725.7,1479545725.82,0.135611057281,0.119695901871,0.0159151554108
i,1479545725.74,1479545725.84,0.0402569770813,0.0956828594208,-0.0554258823395
l,1479545725.89,1479545726.01,0.144464015961,0.119055986404,0.0254080295563
d,1479545726.01,1479545726.1,0.127390861511,0.090784072876,0.0366067886353
h,1479545726.21,1479545726.3,0.200226068497,0.0875670909882,0.112658977509
a,1479545726.37,1479545726.48,0.151710987091,0.111797094345,0.039913892746
c,1479545726.59,1479545726.69,0.223587036133,0.0962820053101,0.127305030823
k,1479545726.69,1479545726.81,0.104537010193,0.111296892166,-0.00675988197327
s,1479545726.86,1479545726.96,0.167423009872,0.096174955368,0.0712480545044
