key,d,u,pp,ht,ft
i,1479545871.69,1479545871.76,,0.0717959403992,
 ,1479545871.92,1479545872.01,0.223651885986,0.0959489345551,0.127702951431
l,1479545872.03,1479545872.11,0.112340927124,0.0798251628876,0.0325157642365
o,1479545872.22,1479545872.27,0.191346168518,0.0483138561249,0.143032312393
v,1479545872.49,1479545872.58,0.272667884827,0.0875990390778,0.185068845749
e,1479545872.66,1479545872.76,0.168043136597,0.0957298278809,0.0723133087158
 ,1479545872.71,1479545872.85,0.0476319789886,0.140825986862,-0.0931940078735
w,1479545872.84,1479545872.96,0.128360033035,0.119522809982,0.00883722305298
i,1479545872.92,1479545873.03,0.0875039100647,0.104187965393,-0.0166840553284
l,1479545873.12,1479545873.22,0.200324058533,0.0957419872284,0.104582071304
d,1479545873.3,1479545873.44,0.176051855087,0.135450124741,0.0406017303467
h,1479545873.51,1479545873.62,0.2080950737,0.107920885086,0.100174188614
a,1479545873.6,1479545873.71,0.0959489345551,0.103757143021,-0.00780820846558
c,1479545873.74,1479545873.83,0.13551402092,0.0882530212402,0.0472609996796
k,1479545873.84,1479545873.92,0.0964350700378,0.0797250270844,0.0167100429535
s,1479545873.97,1479545874.05,0.128185987473,0.0874300003052,0.0407559871674
