key,d,u,pp,ht,ft
i,1479545844.57,1479545844.66,,0.0882189273834,
 ,1479545844.95,1479545845.04,0.376343011856,0.0888230800629,0.287519931793
l,1479545845.07,1479545845.13,0.120079994202,0.0637800693512,0.0562999248505
o,1479545845.23,1479545845.33,0.159917116165,0.0957469940186,0.0641701221466
v,1479545845.29,1479545845.39,0.0640277862549,0.0958201885223,-0.0317924022675
e,1479545845.49,1479545845.63,0.191604137421,0.144172906876,0.047431230545
 ,1479545845.56,1479545845.68,0.0729598999023,0.119204044342,-0.0462441444397
w,1479545845.78,1479545845.93,0.223391056061,0.151767969131,0.0716230869293
i,1479545845.9,1479545845.99,0.120042085648,0.0876469612122,0.0323951244354
l,1479545846.06,1479545846.16,0.162869930267,0.0942690372467,0.0686008930206
d,1479545846.15,1479545846.29,0.084743976593,0.136056900024,-0.0513129234314
h,1479545846.33,1479545846.44,0.184396028519,0.103801965714,0.0805940628052
a,1479545846.47,1479545846.64,0.13595700264,0.167695045471,-0.0317380428314
c,1479545846.81,1479545846.92,0.335929870605,0.11176609993,0.224163770676
k,1479545846.93,1479545847.01,0.120077133179,0.0876770019531,0.0324001312256
s,1479545847.02,1479545847.16,0.0959000587463,0.135234832764,-0.0393347740173
