key,d,u,pp,ht,ft
i,1479545861.44,1479545861.51,,0.0719790458679,
 ,1479545861.65,1479545861.74,0.208066940308,0.0958831310272,0.11218380928
l,1479545862.05,1479545862.11,0.400843143463,0.062882900238,0.337960243225
o,1479545862.23,1479545862.32,0.183214902878,0.0956900119781,0.0875248908997
v,1479545862.39,1479545862.48,0.160030126572,0.0956490039825,0.0643811225891
e,1479545862.55,1479545862.66,0.16064786911,0.110929965973,0.0497179031372
 ,1479545862.63,1479545862.74,0.0793821811676,0.111698865891,-0.0323166847229
w,1479545862.76,1479545862.87,0.127490997314,0.111527919769,0.0159630775452
i,1479545862.86,1479545862.92,0.107262849808,0.0529251098633,0.0543377399445
l,1479545863.03,1479545863.17,0.16458106041,0.139164924622,0.025416135788
d,1479545863.39,1479545863.49,0.359930038452,0.104454994202,0.25547504425
h,1479545863.77,1479545863.88,0.384413003922,0.103847026825,0.280565977097
a,1479545863.89,1479545863.99,0.120127916336,0.0954539775848,0.0246739387512
c,1479545864.02,1479545864.14,0.127983093262,0.11963391304,0.00834918022156
k,1479545864.13,1479545864.2,0.112269878387,0.0711989402771,0.0410709381104
s,1479545864.27,1479545864.35,0.135720014572,0.0795071125031,0.0562129020691
