key,d,u,pp,ht,ft
i,1479545851.37,1479545851.45,,0.0716960430145,
l,1479545851.57,1479545851.61,0.191585063934,0.0475850105286,0.144000053406
,1479545852.01,1479545852.07,0.448355913162,0.0556840896606,0.392671823502
 ,1479545852.12,1479545852.2,0.108112096786,0.0756869316101,0.0324251651764
l,1479545852.25,1479545852.32,0.132142066956,0.0641758441925,0.0679662227631
o,1479545852.41,1479545852.49,0.159689903259,0.071515083313,0.0881748199463
v,1479545852.7,1479545852.79,0.287724018097,0.0880870819092,0.199636936188
e,1479545852.87,1479545852.99,0.168653964996,0.119205951691,0.0494480133057
 ,1479545852.94,1479545853.06,0.0713500976562,0.120012998581,-0.0486629009247
w,1479545853.21,1479545853.36,0.271741867065,0.144280195236,0.127461671829
i,1479545853.32,1479545853.41,0.104434967041,0.0878410339355,0.0165939331055
l,1479545853.5,1479545853.64,0.183680057526,0.135178089142,0.0485019683838
d,1479545853.61,1479545853.74,0.112389087677,0.12722492218,-0.0148358345032
h,1479545853.81,1479545853.92,0.192003011703,0.110081911087,0.0819211006165
a,1479545853.89,1479545854.0,0.0879230499268,0.11146402359,-0.0235409736633
c,1479545854.05,1479545854.15,0.151978969574,0.103544950485,0.0484340190887
k,1479545854.13,1479545854.21,0.0881128311157,0.0716571807861,0.0164556503296
s,1479545854.26,1479545854.37,0.127638101578,0.103984117508,0.0236539840698
