key,d,u,pp,ht,ft
i,1479545864.7,1479545864.77,,0.071594953537,
 ,1479545865.63,1479545865.78,0.933307886124,0.14134311676,0.791964769363
l,1479545865.86,1479545865.9,0.221425056458,0.0448179244995,0.176607131958
o,1479545866.01,1479545866.12,0.157310962677,0.108539104462,0.0487718582153
v,1479545866.15,1479545866.24,0.135686159134,0.0881249904633,0.0475611686707
e,1479545866.29,1479545866.41,0.143827915192,0.121847867966,0.021980047226
 ,1479545866.38,1479545866.48,0.0885770320892,0.0955958366394,-0.00701880455017
w,1479545866.94,1479545867.06,0.559998035431,0.119714021683,0.440284013748
i,1479545867.0,1479545867.1,0.0558018684387,0.10352396965,-0.0477221012115
l,1479545867.2,1479545867.32,0.199994087219,0.119758844376,0.0802352428436
d,1479545867.4,1479545867.5,0.200037956238,0.103610038757,0.0964279174805
h,1479545867.66,1479545867.77,0.263899087906,0.111190795898,0.152708292007
a,1479545867.77,1479545867.86,0.10438990593,0.095113992691,0.00927591323853
c,1479545867.89,1479545868.0,0.127671003342,0.10596203804,0.0217089653015
k,1479545868.02,1479545868.1,0.127867937088,0.0794150829315,0.0484528541565
s,1479545868.12,1479545868.21,0.103786945343,0.0879390239716,0.0158479213715
