key,d,u,pp,ht,ft
i,1479545868.51,1479545868.61,,0.103764057159,
 ,1479545868.86,1479545868.96,0.352400064468,0.103390932083,0.249009132385
l,1479545869.09,1479545869.18,0.230851888657,0.0884511470795,0.142400741577
o,1479545869.28,1479545869.4,0.184678077698,0.123651981354,0.061026096344
v,1479545869.39,1479545869.48,0.112065076828,0.0877459049225,0.0243191719055
e,1479545869.55,1479545869.65,0.159417867661,0.0967700481415,0.062647819519
 ,1479545869.6,1479545869.73,0.0564551353455,0.120854854584,-0.0643997192383
w,1479545869.73,1479545869.85,0.12041592598,0.125236034393,-0.0048201084137
i,1479545869.82,1479545869.88,0.0952939987183,0.0636470317841,0.0316469669342
l,1479545869.98,1479545870.11,0.16015291214,0.128864049911,0.0312888622284
d,1479545870.28,1479545870.4,0.30412197113,0.116123199463,0.187998771667
h,1479545870.52,1479545870.62,0.240007162094,0.0957989692688,0.144208192825
a,1479545870.66,1479545870.76,0.136628866196,0.095174074173,0.0414547920227
c,1479545870.87,1479545870.99,0.207297086716,0.120074987411,0.0872220993042
k,1479545871.0,1479545871.1,0.136161088943,0.0993919372559,0.0367691516876
s,1479545871.12,1479545871.23,0.11150097847,0.11213183403,-0.000630855560303
