key,d,u,pp,ht,ft
i,1479545858.54,1479545858.61,,0.0714230537415,
l,1479545858.74,1479545858.82,0.199305057526,0.0802049636841,0.119100093842
,1479545859.16,,0.41635799408,,
 ,1479545859.33,1479545859.44,0.176192998886,0.103853940964,0.0723390579224
l,1479545859.48,1479545859.54,0.143811941147,0.06360912323,0.0802028179169
o,1479545859.64,1479545859.72,0.160029172897,0.0803070068359,0.0797221660614
v,1479545859.72,,0.0873169898987,,
e,1479545859.88,1479545860.02,0.16014289856,0.135366916656,0.0247759819031
 ,1479545859.98,1479545860.09,0.0966069698334,0.103702068329,-0.00709509849548
w,1479545860.23,,0.248402118683,,
i,1479545860.29,1479545860.35,0.0636608600616,0.0556111335754,0.00804972648621
l,1479545860.44,1479545860.55,0.151366949081,0.105295181274,0.046071767807
d,1479545860.52,1479545860.65,0.0801291465759,0.12011384964,-0.039984703064
h,1479545860.68,1479545860.78,0.155461072922,0.100287914276,0.0551731586456
a,1479545860.76,1479545860.83,0.0766758918762,0.0718441009521,0.00483179092407
c,1479545860.89,1479545860.97,0.127990961075,0.0877799987793,0.0402109622955
k,1479545860.98,1479545861.04,0.0957870483398,0.056135892868,0.0396511554718
s,1479545861.07,1479545857.31,0.0883569717407,-3.76029801369,3.84865498543
s,,1479545861.16,,,
v,,1479545859.81,,,
w,,1479545860.34,,,
,,1479545859.24,,,
