key,d,u,pp,ht,ft
i,1479545847.52,1479545847.6,,0.0799288749695,
l,1479545847.69,1479545847.76,0.176068067551,0.064181804657,0.111886262894
o,1479545847.85,1479545847.95,0.151939868927,0.104004144669,0.0479357242584
,1479545848.15,1479545848.21,0.30401301384,0.0558729171753,0.248140096664
,1479545848.3,1479545848.38,0.152107000351,0.0792751312256,0.0728318691254
 ,1479545848.45,1479545848.52,0.151900053024,0.0638010501862,0.0880990028381
l,1479545848.57,1479545848.65,0.112073898315,0.0796840190887,0.0323898792267
o,1479545848.73,1479545848.81,0.167701005936,0.0803301334381,0.0873708724976
v,1479545848.81,1479545848.9,0.0805430412292,0.0875210762024,-0.00697803497314
e,1479545848.97,1479545849.09,0.159807920456,0.119561195374,0.0402467250824
 ,1479545849.07,1479545849.17,0.0957531929016,0.102561950684,-0.00680875778198
w,1479545849.22,1479545849.34,0.14745092392,0.12452507019,0.0229258537292
i,1479545849.28,1479545849.35,0.0604889392853,0.0717329978943,-0.011244058609
l,1479545849.44,1479545849.55,0.15987610817,0.111716032028,0.0481600761414
d,1479545849.53,1479545849.64,0.0887818336487,0.111345052719,-0.0225632190704
h,1479545849.97,1479545850.08,0.440426111221,0.110774993896,0.329651117325
a,1479545850.09,1479545850.22,0.127007007599,0.127697944641,-0.000690937042236
c,1479545850.41,1479545850.5,0.320050954819,0.0876281261444,0.232422828674
k,1479545850.49,1479545850.57,0.0718331336975,0.0879399776459,-0.0161068439484
s,1479545850.61,1479545850.72,0.120225906372,0.113559007645,0.00666689872742
