key,d,u,pp,ht,ft
i,1479545936.9,1479545936.99,,0.0955860614777,
 ,1479545937.04,1479545937.15,0.143882036209,0.103950023651,0.039932012558
l,1479545937.18,1479545937.27,0.135974168777,0.0955348014832,0.0404393672943
o,1479545937.36,1479545937.4,0.183939933777,0.039694070816,0.144245862961
v,1479545937.45,1479545937.55,0.0881149768829,0.103740930557,-0.0156259536743
e,1479545937.53,1479545937.61,0.0799069404602,0.0820200443268,-0.00211310386658
 ,1479545937.58,1479545937.66,0.0475330352783,0.0803279876709,-0.0327949523926
w,1479545938.05,1479545938.15,0.472474098206,0.0957639217377,0.376710176468
i,1479545938.14,1479545938.21,0.0878298282623,0.071631193161,0.0161986351013
l,1479545938.28,1479545938.38,0.14361000061,0.0962991714478,0.0473108291626
d,1479545938.39,1479545938.48,0.112586975098,0.0874111652374,0.0251758098602
h,1479545938.52,1479545938.59,0.128264188766,0.0706419944763,0.0576221942902
a,1479545938.63,1479545938.73,0.111536026001,0.0955808162689,0.0159552097321
c,1479545938.72,1479545938.81,0.0881569385529,0.0873169898987,0.000839948654175
k,1479545938.8,1479545938.89,0.0802869796753,0.0872609615326,-0.0069739818573
s,1479545938.92,1479545939.03,0.119107961655,0.104309082031,0.0147988796234
