key,d,u,pp,ht,ft
i,1479545939.55,1479545939.62,,0.0722739696503,
 ,1479545939.69,1479545939.79,0.144554853439,0.0955970287323,0.048957824707
l,1479545939.83,1479545939.93,0.144078016281,0.095587015152,0.0484910011292
o,1479545940.04,1479545940.06,0.200446128845,0.0271599292755,0.17328619957
v,1479545940.12,1479545940.23,0.080582857132,0.118653059006,-0.0380702018738
e,1479545940.22,1479545940.3,0.102967977524,0.0796670913696,0.0233008861542
 ,1479545940.34,1479545940.44,0.125778198242,0.0979778766632,0.027800321579
w,1479545940.76,1479545940.87,0.4181599617,0.103765964508,0.314393997192
i,1479545940.89,1479545940.97,0.128015041351,0.0795447826385,0.0484702587128
l,1479545941.07,1479545941.17,0.183859825134,0.0959219932556,0.0879378318787
d,1479545941.47,1479545941.55,0.393310070038,0.0866858959198,0.306624174118
h,1479545941.71,1479545941.79,0.247186899185,0.0711221694946,0.176064729691
a,1479545941.86,1479545941.94,0.143640041351,0.0825440883636,0.0610959529877
c,1479545941.97,1479545942.07,0.112058162689,0.0953648090363,0.016693353653
k,1479545942.09,1479545942.18,0.119969844818,0.0874099731445,0.0325598716736
s,1479545942.21,1479545942.29,0.120339155197,0.0791709423065,0.0411682128906
