key,d,u,pp,ht,ft
i,1479545923.52,1479545923.59,,0.0717492103577,
 ,1479545923.68,1479545923.76,0.159842014313,0.0875689983368,0.072273015976
l,1479545923.83,1479545923.91,0.152129173279,0.0877208709717,0.0644083023071
o,1479545924.01,1479545924.05,0.184350967407,0.0399329662323,0.144418001175
v,1479545924.09,1479545924.2,0.0797288417816,0.11296415329,-0.0332353115082
e,1479545924.17,1479545924.27,0.0798091888428,0.0955188274384,-0.0157096385956
 ,1479545924.26,1479545924.34,0.0877268314362,0.0837700366974,0.00395679473877
i,1479545924.5,1479545924.56,0.23736000061,0.0662841796875,0.171075820923
,1479545925.71,1479545925.78,1.21091413498,0.0716140270233,1.13930010796
w,1479545925.91,1479545926.01,0.200137853622,0.103515148163,0.0966227054596
i,1479545926.03,1479545926.12,0.119927167892,0.0893878936768,0.0305392742157
l,1479545926.2,1479545926.29,0.167959928513,0.095321893692,0.0726380348206
d,1479545926.4,1479545926.5,0.20013999939,0.103622913361,0.0965170860291
h,1479545926.56,1479545926.63,0.167788982391,0.0692400932312,0.0985488891602
a,1479545926.68,1479545926.75,0.112010955811,0.0797650814056,0.0322458744049
c,1479545926.8,1479545926.87,0.120136976242,0.0797321796417,0.0404047966003
k,1479545926.91,1479545926.99,0.119354009628,0.0802340507507,0.0391199588776
s,1479545927.05,1479545927.13,0.13635802269,0.0798270702362,0.0565309524536
