key,d,u,pp,ht,ft
i,1479545921.15,1479545921.22,,0.0639698505402,
 ,1479545921.24,1479545921.35,0.0883538722992,0.111789941788,-0.0234360694885
l,1479545921.77,1479545921.86,0.528126001358,0.0875790119171,0.440546989441
o,1479545921.93,1479545921.99,0.160038948059,0.0630769729614,0.0969619750977
v,1479545922.01,1479545922.13,0.0793449878693,0.120299100876,-0.0409541130066
e,1479545922.11,1479545922.19,0.0983321666718,0.0810039043427,0.0173282623291
 ,1479545922.18,1479545922.26,0.0699369907379,0.0795509815216,-0.00961399078369
w,1479545922.31,1479545922.41,0.13571190834,0.0961301326752,0.0395817756653
i,1479545922.4,1479545922.47,0.0882339477539,0.0720520019531,0.0161819458008
l,1479545922.55,1479545922.62,0.144215106964,0.071937084198,0.0722780227661
d,1479545922.66,1479545922.75,0.111901044846,0.087620973587,0.0242800712585
h,1479545922.81,1479545922.87,0.152024030685,0.0637409687042,0.0882830619812
a,1479545922.9,1479545923.0,0.0880649089813,0.0967130661011,-0.00864815711975
c,1479545923.01,1479545923.09,0.111968040466,0.0795700550079,0.0323979854584
k,1479545923.11,1479545923.18,0.101541996002,0.0659880638123,0.0355539321899
s,1479545923.21,1479545923.3,0.0982229709625,0.0877480506897,0.0104749202728
