key,d,u,pp,ht,ft
i,1479545915.61,1479545915.68,,0.0657579898834,
 ,1479545915.81,1479545915.91,0.202064037323,0.0955009460449,0.106563091278
l,1479545916.03,1479545916.09,0.215445041656,0.064160823822,0.151284217834
o,1479545916.16,1479545916.24,0.136588811874,0.0795540809631,0.0570347309113
v,1479545916.32,1479545916.44,0.15989613533,0.119601011276,0.040295124054
e,1479545916.46,1479545916.56,0.136117935181,0.0956311225891,0.0404868125916
 ,1479545916.58,1479545916.67,0.119544029236,0.0955400466919,0.0240039825439
w,1479545916.79,1479545916.88,0.208256006241,0.0956950187683,0.112560987473
i,1479545916.88,1479545916.95,0.0879108905792,0.0717620849609,0.0161488056183
l,1479545917.04,1479545917.16,0.167917013168,0.115392208099,0.052524805069
d,1479545917.38,1479545917.47,0.335900068283,0.0881130695343,0.247786998749
h,1479545917.58,1479545917.64,0.200359106064,0.0636339187622,0.136725187302
a,1479545917.67,1479545917.74,0.0878858566284,0.0717740058899,0.0161118507385
c,1479545917.82,1479545917.9,0.151884078979,0.0798139572144,0.0720701217651
k,1479545917.93,1479545918.02,0.11220407486,0.0875418186188,0.0246622562408
s,1479545918.05,1479545918.13,0.120172023773,0.0799248218536,0.0402472019196
