key,d,u,pp,ht,ft
i,1479545918.39,1479545918.46,,0.0716681480408,
 ,1479545918.89,1479545918.97,0.503981113434,0.079864025116,0.424117088318
l,1479545919.02,1479545919.13,0.127849817276,0.111618041992,0.0162317752838
o,1479545919.21,1479545919.27,0.189652204514,0.0584599971771,0.131192207336
v,1479545919.29,1479545919.4,0.0824790000916,0.111819982529,-0.0293409824371
e,1479545919.37,1479545919.46,0.079892873764,0.087562084198,-0.00766921043396
 ,1479545919.44,1479545919.52,0.0643100738525,0.0875849723816,-0.0232748985291
w,1479545919.59,1479545919.68,0.151191949844,0.0960190296173,0.0551729202271
i,1479545919.66,1479545919.73,0.0736980438232,0.070631980896,0.00306606292725
l,1479545919.83,1479545919.92,0.167764902115,0.0867910385132,0.0809738636017
d,1479545919.97,1479545920.08,0.143033981323,0.111546039581,0.0314879417419
h,1479545920.24,1479545920.31,0.264092206955,0.0793597698212,0.184732437134
a,1479545920.36,1479545920.47,0.127797842026,0.103923082352,0.0238747596741
c,1479545920.55,1479545920.6,0.185658931732,0.0462300777435,0.139428853989
k,1479545920.65,1479545920.75,0.102813005447,0.0954561233521,0.00735688209534
s,1479545920.81,1479545920.9,0.159658193588,0.0879638195038,0.0716943740845
