key,d,u,pp,ht,ft
i,1479545930.47,1479545930.55,,0.0884070396423,
 ,1479545930.84,1479545930.94,0.376105070114,0.0963370800018,0.279767990112
l,1479545931.01,1479545931.1,0.168402910233,0.0876171588898,0.0807857513428
o,1479545931.19,1479545931.25,0.176723003387,0.0632400512695,0.113482952118
v,1479545931.28,1479545931.4,0.0954689979553,0.12181520462,-0.026346206665
e,1479545931.39,1479545931.47,0.110067129135,0.0735700130463,0.0364971160889
 ,1479545931.51,1479545931.58,0.114043951035,0.0715761184692,0.0424678325653
w,1479545931.61,1479545931.71,0.103403091431,0.0966989994049,0.00670409202576
i,1479545931.7,1479545931.77,0.0880589485168,0.0720961093903,0.0159628391266
d,1479545931.83,1479545931.89,0.135771036148,0.0561790466309,0.0795919895172
,1479545932.18,1479545932.24,0.344786882401,0.0635151863098,0.281271696091
l,1479545932.38,1479545932.47,0.199789047241,0.0955970287323,0.104192018509
d,1479545932.57,1479545932.66,0.192039966583,0.0878109931946,0.104228973389
h,1479545932.76,1479545932.83,0.192007064819,0.0637040138245,0.128303050995
a,1479545932.88,1479545932.97,0.119712114334,0.088015794754,0.0316963195801
c,1479545933.07,1479545933.15,0.183885812759,0.087856054306,0.0960297584534
k,1479545933.2,1479545933.28,0.132547140121,0.0834209918976,0.0491261482239
s,1479545933.35,1479545933.43,0.147683858871,0.0873341560364,0.0603497028351
